[1.340s][info][gc           ] GC(14) Pause Young (G1 Evacuation Pause) 132M->0M(222M) 1.999ms
[1.340s][info][gc,cpu       ] GC(14) User=0.00s Sys=0.00s Real=0.00s
[1.418s][info][gc,start     ] GC(15) Pause Young (G1 Evacuation Pause)
[1.418s][info][gc,task      ] GC(15) Using 4 workers of 4 for evacuation
[1.420s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.0ms
[1.420s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 1.6ms
[1.420s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 0.1ms
[1.420s][info][gc,phases    ] GC(15)   Other: 0.2ms
[1.420s][info][gc,heap      ] GC(15) Eden regions: 132->0(132)
[1.420s][info][gc,heap      ] GC(15) Survivor regions: 1->1(17)
[1.420s][info][gc,heap      ] GC(15) Old regions: 0->1
[1.420s][info][gc,heap      ] GC(15) Humongous regions: 0->0
[1.420s][info][gc,metaspace ] GC(15) Metaspace: 4540K->4540K(1056768K)
[1.420s][info][gc           ] GC(15) Pause Young (G1 Evacuation Pause) 132M->0M(222M) 2.057ms
[1.420s][info][gc,cpu       ] GC(15) User=0.00s Sys=0.00s Real=0.00s
[1.498s][info][gc,start     ] GC(16) Pause Young (G1 Evacuation Pause)
[1.498s][info][gc,task      ] GC(16) Using 4 workers of 4 for evacuation
[1.500s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.0ms
[1.500s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 0.3ms
[1.500s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 1.7ms
[1.500s][info][gc,phases    ] GC(16)   Other: 0.2ms
[1.500s][info][gc,heap      ] GC(16) Eden regions: 132->0(159)
[1.500s][info][gc,heap      ] GC(16) Survivor regions: 1->1(17)
[1.500s][info][gc,heap      ] GC(16) Old regions: 1->1
[1.500s][info][gc,heap      ] GC(16) Humongous regions: 0->0
[1.500s][info][gc,metaspace ] GC(16) Metaspace: 4540K->4540K(1056768K)
[1.500s][info][gc           ] GC(16) Pause Young (G1 Evacuation Pause) 132M->0M(267M) 2.315ms
[1.500s][info][gc,cpu       ] GC(16) User=0.00s Sys=0.00s Real=0.00s
[1.610s][info][gc,start     ] GC(17) Pause Young (G1 Evacuation Pause)
[1.610s][info][gc,task      ] GC(17) Using 4 workers of 4 for evacuation
[1.611s][info][gc,phases    ] GC(17)   Pre Evacuate Collection Set: 0.0ms
[1.611s][info][gc,phases    ] GC(17)   Evacuate Collection Set: 0.3ms
[1.611s][info][gc,phases    ] GC(17)   Post Evacuate Collection Set: 0.1ms
[1.611s][info][gc,phases    ] GC(17)   Other: 0.2ms
[1.611s][info][gc,heap      ] GC(17) Eden regions: 159->0(159)
[1.611s][info][gc,heap      ] GC(17) Survivor regions: 1->1(20)
[1.611s][info][gc,heap      ] GC(17) Old regions: 1->1
[1.611s][info][gc,heap      ] GC(17) Humongous regions: 0->0
[1.611s][info][gc,metaspace ] GC(17) Metaspace: 4540K->4540K(1056768K)
[1.611s][info][gc           ] GC(17) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.737ms
[1.611s][info][gc,cpu       ] GC(17) User=0.02s Sys=0.00s Real=0.00s
[1.707s][info][gc,start     ] GC(18) Pause Young (G1 Evacuation Pause)
[1.707s][info][gc,task      ] GC(18) Using 4 workers of 4 for evacuation
[1.707s][info][gc,phases    ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[1.707s][info][gc,phases    ] GC(18)   Evacuate Collection Set: 0.3ms
[1.707s][info][gc,phases    ] GC(18)   Post Evacuate Collection Set: 0.1ms
[1.707s][info][gc,phases    ] GC(18)   Other: 0.2ms
[1.707s][info][gc,heap      ] GC(18) Eden regions: 159->0(159)
[1.707s][info][gc,heap      ] GC(18) Survivor regions: 1->1(20)
[1.707s][info][gc,heap      ] GC(18) Old regions: 1->1
[1.707s][info][gc,heap      ] GC(18) Humongous regions: 0->0
[1.707s][info][gc,metaspace ] GC(18) Metaspace: 4540K->4540K(1056768K)
[1.707s][info][gc           ] GC(18) Pause Young (G1 Evacuation Pause) 159M->0M(267M) 0.705ms
[1.707s][info][gc,cpu       ] GC(18) User=0.00s Sys=0.00s Real=0.00s
[1.804s][info][gc,start     ] GC(19) Pause Young (G1 Evacuation Pause)
[1.804s][info][gc,task      ] GC(19) Using 4 workers of 4 for evacuation
[1.805s][info][gc,phases    ] GC(19)   Pre Evacuate Collection Set: 0.0ms
[1.805s][info][gc,phases    ] GC(19)   Evacuate Collection Set: 0.3ms
[1.805s][info][gc,phases    ] GC(19)   Post Evacuate Collection Set: 0.1ms
[1.805s][info][gc,phases    ] GC(19)   Other: 0.2ms
[1.805s][info][gc,heap      ] GC(19) Eden regions: 159->0(159)
[1.805s][info][gc,heap      ] GC(19) Survivor regions: 1->1(20)
[1.805s][info][gc,heap      ] GC(19) Old regions: 1->1
